"internal_id","hierarchical_label"
"IT:ASVe:2180.011.001.001.003","Delegazione provinciale, 1816 - 1866 >> Matricole dei requisiti che sono accettati dal Consiglio di leva, 1819 >> ? >> ? >> 1818, 1818"
"IT:ASVe:2180.011.001.001.004","Delegazione provinciale, 1816 - 1866 >> Matricole dei requisiti che sono accettati dal Consiglio di leva, 1819 >> ? >> ? >> 1819, 1819"
"IT:ASVe:2180.011.001.001.005","Delegazione provinciale, 1816 - 1866 >> Matricole dei requisiti che sono accettati dal Consiglio di leva, 1819 >> ? >> ? >> 1820, 1820"
"IT:ASVe:2180.011.001.001.006","Delegazione provinciale, 1816 - 1866 >> Matricole dei requisiti che sono accettati dal Consiglio di leva, 1819 >> ? >> ? >> 1821, 1821"
"IT:ASVe:2180.011.001.001.007","Delegazione provinciale, 1816 - 1866 >> Matricole dei requisiti che sono accettati dal Consiglio di leva, 1819 >> ? >> ? >> 1822, 1822"
"IT:ASVe:2180.011.001.001.008","Delegazione provinciale, 1816 - 1866 >> Matricole dei requisiti che sono accettati dal Consiglio di leva, 1819 >> ? >> ? >> 1823, 1823"
"IT:ASVe:2180.011.001.001.009","Delegazione provinciale, 1816 - 1866 >> Matricole dei requisiti che sono accettati dal Consiglio di leva, 1819 >> ? >> ? >> 1824, 1824"
"IT:ASVe:2180.011.001.001.010","Delegazione provinciale, 1816 - 1866 >> Matricole dei requisiti che sono accettati dal Consiglio di leva, 1819 >> ? >> ? >> 1825, 1825"
"IT:ASVe:2180.011.001.001.011","Delegazione provinciale, 1816 - 1866 >> Matricole dei requisiti che sono accettati dal Consiglio di leva, 1819 >> ? >> ? >> 1826, 1826"
"IT:ASVe:2180.011.001.001.012","Delegazione provinciale, 1816 - 1866 >> Matricole dei requisiti che sono accettati dal Consiglio di leva, 1819 >> ? >> ? >> 1827, 1827"
"IT:ASVe:2180.011.001.001.013","Delegazione provinciale, 1816 - 1866 >> Matricole dei requisiti che sono accettati dal Consiglio di leva, 1819 >> ? >> ? >> 1828, 1828"
"IT:ASVe:2180.011.001.001.014","Delegazione provinciale, 1816 - 1866 >> Matricole dei requisiti che sono accettati dal Consiglio di leva, 1819 >> ? >> ? >> 1829, 1829"
"IT:ASVe:2180.011.001.001.015","Delegazione provinciale, 1816 - 1866 >> Matricole dei requisiti che sono accettati dal Consiglio di leva, 1819 >> ? >> ? >> 1830, 1830"
"IT:ASVe:2180.011.001.001.016","Delegazione provinciale, 1816 - 1866 >> Matricole dei requisiti che sono accettati dal Consiglio di leva, 1819 >> ? >> ? >> 1831, 1831"
"IT:ASVe:2180.011.001.001.017","Delegazione provinciale, 1816 - 1866 >> Matricole dei requisiti che sono accettati dal Consiglio di leva, 1819 >> ? >> ? >> 1832, 1832"
"IT:ASVe:2180.011.001.001.018","Delegazione provinciale, 1816 - 1866 >> Matricole dei requisiti che sono accettati dal Consiglio di leva, 1819 >> ? >> ? >> 1833, 1833"
"IT:ASVe:2180.011.001.001.019","Delegazione provinciale, 1816 - 1866 >> Matricole dei requisiti che sono accettati dal Consiglio di leva, 1819 >> ? >> ? >> 1834, 1834"
"IT:ASVe:2180.011.001.001.020","Delegazione provinciale, 1816 - 1866 >> Matricole dei requisiti che sono accettati dal Consiglio di leva, 1819 >> ? >> ? >> 1835, 1835"
"IT:ASVe:2180.011.001.001.021","Delegazione provinciale, 1816 - 1866 >> Matricole dei requisiti che sono accettati dal Consiglio di leva, 1819 >> ? >> ? >> 1836, 1836"
"IT:ASVe:2180.011.001.001.022","Delegazione provinciale, 1816 - 1866 >> Matricole dei requisiti che sono accettati dal Consiglio di leva, 1819 >> ? >> ? >> 1837, 1837"
"IT:ASVe:2180.011.001.001.023","Delegazione provinciale, 1816 - 1866 >> Matricole dei requisiti che sono accettati dal Consiglio di leva, 1819 >> ? >> ? >> 1838, 1838"
